UV,COMIS5.DCOMIS.MIS_ADM,UV
X,X,X
AQMS,DST.AQMS,DST
X,X,X
X,X,X
X,X,X
X,X,X
X,X,X
SSP,X,X
RCP,X,X
SRES,X,X
MON1,FCT.LONG.MON1,mon1
MON1,FCT.LONG,mon1
MON3,FCT.LONG.MON3,mon3
MON3,FCT.LONG,mon3
LONG,FCT.LONG.SSN,fct_
LONG,FCT.LONG.ELNI,fct_
LONG,FCT.LONG.EXT,fct_
LONG,FCT.LONG,nino
LONG,FCT.LONG,ext
LONG,FCT.LONG,ssn
PRCP,FCT. DROUGHT,prcp
PRCP,FCT.DROUGHT,prcp
SPI,X,X
PN,X,X
DRT1,FCT.DROUGHT.MON1,mon1
DRT1,FCT.DROUGHT,mon1
DRT3,FCT.DROUGHT.MON3,mon3
DRT3,FCT.DROUGHT,mon3
RIP,SEA.ICE,ripcurrent
ICE,SEA.ICE,icing
SCL,SEA.CLIMATE.IMG,_
SCL,SEA.CLIMTE.IMG,_
SCL,SEA.CLIMATE,_
SCL,SEA.CLIMTE,_
