SYNOP,COMIS5.DCOMIS.MIS_ADM,SYN
PILOT,COMIS5.DCOMIS.MIS_ADM,PILOT
PIBAL,COMIS5.DCOMIS.MIS_ADM,PIBAL
PILOT MOBILE,COMIS5.DCOMIS.MIS_ADM,STN_UPP_MBL
TEMP,X,X
TEMP MOBILE,X,X
SHIP,COMIS5.DCOMIS.MIS_ADM,GTS_.*_SHP
BUOY,COMIS5.DCOMIS.MIS_ADM,GTS_.*_BUOY
BUOY,GTS.ETC,BUOY
PILOT SHIP,X,X
TEMP SHIP,COMIS5.DCOMIS.MIS_ADM,GTS_.*_TEMPSHIP
TEMP DROP,X,X
CODAR,X,X
AIREP,COMIS5.DCOMIS.MIS_ADM,GTS_DEC_AIREP
AMDAR,GTS.SORT,AMDAR_
AMDAR,UPP.AMDAR.KMA,AMDAR
AMDAR,COMIS5.DCOMIS.MIS_ADM,AMDAR
METAR,COMIS5.DCOMIS.MIS_ADM,METAR
METAR,SAT.GSD.METAR,METAR_MADIS
SPECI,COMIS5.DCOMIS.MIS_ADM,GTS_.*_SPECI
SPECI,GTS.ETC,GJSPECI
SPECI,AIR.JUN,SAKO01
SATEM,COMIS5.DCOMIS.MIS_ADM,GTS_DEC_SATEM
SATEM,GTS.ETC,GJSATEM
SAREP,COMIS5.DCOMIS.MIS_ADM,GTS_DEC_SAREP
SARAD,X,X
SATOB,COMIS5.DCOMIS.MIS_ADM,GTS_DEC_SATOB
SATOB,GTS.ETC,GJSATOB
CLIMAT,X,X
CLIMAT TEMP,X,X
RADOB,X,X
AFWA,AIR.AFWA,AFWA
FV,GTS.WRN,GTS#FV
FK,X,X
SE,GTS.WRN,GTS#SE
TAF,COMIS5.DCOMIS.MIS_ADM,GTS_.*_TAF
TAF,GTS.ETC,GJTAF
TYP,X,X
WC,X,X
WD,X,X
WE,X,X
WH,X,X
WS,X,X
WT,X,X
WV,X,X
AMEDAS,GTS.AMEDAS4,GTS.AMEDAS4
BM,GTS.BM,GTS.BM
BULL,GTS.BULL,GTS.BULL
GRIB,GTS.GRIB,GTS.GRIB
JANGBOGO,GTS.JANGBOGO,GTS.JANGBOGO
NOTICES,GTS.NOTICES,GTS.NOTICES
